FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
Aquisição de Plano com Aparelho,Pagamento (com aparelho),Ao ser exibido o passo de forma de pagamento,'feature-step','plan-and-phone-acquisition','purchase-funnel','payment',6,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Pagamento (com aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','payment',6,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Pagamento (com aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','payment',6,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano com Aparelho,Pagamento (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','payment',6,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Info da Linha (com aparelho),Ao ser exibido o passo de informações da linha,'feature-step','plan-and-phone-acquisition','purchase-funnel','line-info',7,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Info da Linha (com aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','line-info',7,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Info da Linha (com aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','line-info',7,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano com Aparelho,Info da Linha (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','line-info',7,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),No carregamento da página de sumário,'feature-step','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),"Ao selecionar ""Concluir Compra""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),"Ao selecionar ""Quero cancelar minha compra""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,'navigate','cancel',,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Confirmação do Pedido (com aparelho),No carregamento da página de confirmação do pedido,'feature-step','plan-and-phone-acquisition','purchase-funnel','order-confirmation',9,'completion',true,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,No carregamento da página de seleção de aparelhos,'feature-step','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,Ao selecionar o aparelho,'feature-interaction','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,'select-phone','phone',,,,
Aquisição de Plano com Aparelho,Seleção de Aparelho,Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','phone-selection',2,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Detalhe do Aparelho,No carregamento da página do aparelho,'feature-step','plan-and-phone-acquisition','purchase-funnel','phone-details',2,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Detalhe do Aparelho,"Ao selecionar um plano (clicando em ""Comprar"")",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','phone-details',2,'intermediary',false,'select-plan','plan',,,,
