FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
,,,,,,,,,,,,,,
Consumo,Detalhamento de Consumo de E-mail - Desativacao,Clique para confirmar ou cancelar desativação,'feature-interaction','detailing-email-consumption-deactivation','comsumption','home',1,'initial',false,'confirm','next',-,-,-
Consumo,Detalhamento de Consumo de E-mail - Desativacao,No carregamento da página,'feature-step','detailing-email-consumption-deactivation','comsumption','confirm-deactivation',2,'intermediary',false,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Desativacao,Clique para confirmar ou cancelar desativação,'feature-interaction','detailing-email-consumption-deactivation','comsumption','confirm-deactivation',2,'intermediary',false,'confirm','next' | 'cancel',-,-,-
Consumo,Detalhamento de Consumo de E-mail - Desativacao,No carregamento da página,'feature-step','detailing-email-consumption-deactivation','comsumption','deactivation-success',3,'completion',true,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Desativacao,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','detailing-email-consumption-deactivation','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Detalhamento de Consumo de E-mail - Desativacao,No momento que a operação falhar a execução,'interface-message','detailing-email-consumption-deactivation','comsumption',-,-,-,false,-,-,'error','string','string'
Consumo,Detalhamento de Consumo de E-mail - Alteracao de data de Envio,No carregamento da página,'feature-step','detailing-email-consumption-change-date','comsumption','confirm-deactivation',1,'intermediary',false,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Alteracao de data de Envio,Clique para confirmar ou cancelar alteração de dia de envio,'feature-interaction','detailing-email-consumption-change-date','comsumption','confirm-deactivation',1,'intermediary',false,'confirm','next',-,-,-
Consumo,Detalhamento de Consumo de E-mail - Alteracao de data de Envio,No carregamento da página,'feature-step','detailing-email-consumption-change-date','comsumption','change-date-success',2,'completion',true,-,-,-,-,-
Consumo,Detalhamento de Consumo de E-mail - Alteracao de data de Envio,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','detailing-email-consumption-change-date','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Detalhamento de Consumo de E-mail - Alteracao de data de Envio,No momento que a operação falhar a execução,'interface-message','detailing-email-consumption-change-date','comsumption',-,-,-,false,-,-,'error','string','string'
Consumo,Lancamentos Futuros,No carregamento da página,'feature-step','schedules','comsumption','home',1,'initial',false,-,-,-,-,-
Consumo,Lancamentos Futuros,Clicou para expandir algum item,'feature-interaction','schedules','comsumption','home',1,'initial',false,'select-option','item-details' | 'cancel-vsa' | 'complete-statement',-,-,-
Consumo,Lancamentos Futuros,No carregamento da página,'feature-step','schedules','comsumption','cancel-vsa',2,'intermediary',false,-,-,-,-,-
Consumo,Lancamentos Futuros,Clique para cancelar algum SVA,'feature-interaction','schedules','comsumption','cancel-vsa',2,'intermediary',false,'confirm','next' | 'cancel',-,-,-
Consumo,Lancamentos Futuros,No carregamento da página,'feature-step','schedules','comsumption','cancel-vsa-success',3,'completion',true,-,-,-,-,-
Consumo,Lancamentos Futuros,No momento que o sistema retornar um aviso para a não-realização da operação,'interface-message','schedules','comsumption',-,-,-,false,-,-,'warning','string','string'
Consumo,Lancamentos Futuros,No momento que a operação falhar a execução,'interface-message','schedules','comsumption',-,-,-,false,-,-,'error','string','string'
Contas,Segunda via de contas,No carregamento da página,'feature-step','bill-duplicate','bills','home',1,'initial',false,-,-,-,-,-
Contas,Segunda via de contas,"Clique em ""Pagar agora"", ""Já pagou?"", ""Enviar por e-mail"", ""Imprimir"", ""2ª via detalhada"", ""Visualizar conta"" ou ""Download""",'feature-interaction','bill-duplicate','bills','home',1,'initial',false,'options','detail-bill-duplicate' | 'paid' | 'send-by-email',-,-,-
Contas,Segunda via de contas,No carregamento da página,'feature-step','bill-duplicate','bills','detail-bill-duplicate',2,'intermediary',false,-,-,-,-,-
Contas,Segunda via de contas,"Clique para imprimir, salvar em PDF ou enviar por email",'feature-interaction','bill-duplicate','bills','detail-bill-duplicate',2,'intermediary',false,'options','to-print' | 'salve-to-pdf' | 'send-by-email',-,-,-
Contas,Segunda via de contas,No carregamento da página,'feature-step','bill-duplicate','bills','send-by-email',3,'intermediary',false,-,-,-,-,-
